"","lon","lat"
"217",105.927028,19.884167
"218",105.641194,18.900694
"219",107.131917,16.854083
"220",108.326667,16.142889
"221",108.942056,15.244972
"222",109.467111,12.6475
"223",109.196194,12.629972
"224",109.019139,11.355417
"225",107.259167,10.375389
"226",106.745722,10.572833
"227",106.779111,10.277
"228",106.435333,10.31075
"229",106.77825,10.081194
"230",106.356194,10.192472
"231",106.616639,9.812917
"232",106.179111,10.175417
"233",106.5025,9.55375
"234",105.836667,9.993722
"235",106.19875,9.375028
"236",105.280833,8.752917
"237",104.79375,8.800806
"238",105.087833,10.004861
"239",103.864167,10.707889
"240",103.614167,10.500417
"241",103.558306,11.165417
"242",103.1275,10.867056
"243",102.644167,12.177917
"244",101.789194,12.708722
"245",100.855833,12.646222
"246",100.988333,13.500417
"247",99.951139,13.309167
"248",100.024556,12.1875
"249",99.150472,10.344111
"250",99.224556,9.255
"251",99.846222,9.290833
"252",100.425833,7.160389
"253",101.568361,6.838639
"254",103.15125,5.34
"255",103.477917,4.533333
"256",103.457889,2.825
"257",104.276583,1.367889
"258",103.940806,1.662889
"259",103.511667,1.2695
"260",101.29125,2.846667
"261",100.557944,4.314972
"262",100.115306,6.554111
"263",98.670833,8.390389
"264",98.285444,8.203333
"265",98.762667,10.325806
"266",98.552556,9.973722
"267",98.455583,10.686694
"268",98.885417,11.7
"269",98.542028,11.882444
"270",98.720389,12.81
"271",98.224111,13.972917
"272",98.126194,13.5525
"273",97.787917,14.870806
"274",97.742083,16.562528
"275",97.353778,16.504944
"276",96.873889,17.509361
"277",96.892917,16.819167
"278",96.450778,16.489583
"279",96.117472,16.800389
"280",96.323722,16.420833
"281",95.7175,16.247056
"282",95.455833,15.734556
"283",95.12775,16.120111
"284",94.955806,15.74125
"285",94.63675,16.094111
"286",94.394167,15.829583
"287",94.622722,16.256278
"288",94.2425,15.952861
"289",94.597944,17.553306
"290",94.086222,19.364167
"291",93.936667,18.843722
"292",93.469583,19.366667
"293",94.022861,19.371639
"294",93.755444,19.914972
"295",92.995806,20.137889
"296",93.080028,20.585389
"297",92.761194,20.198333
"298",91.447417,22.763611
"299",90.686639,22.762889
"300",90.83125,22.154111
"301",90.623722,22
"302",90.533306,22.605417
"303",90.194167,21.802917
"304",89.902444,22.390472
"305",89.778278,21.82525
"306",89.522417,22.085389
"307",89.219111,21.747778
"308",89.042417,22.075389
"309",89.026639,21.598639
"310",88.639056,22.076194
"311",88.246639,21.561222
"312",88.019556,22.222917
"313",87.804167,21.696222
"314",86.912111,21.338333
"315",87.069583,20.720806
"316",86.371639,19.952083
"317",85.038306,19.392083
"318",84.129194,18.309556
"319",82.306222,17.038333
"320",82.303278,16.55875
"321",81.2675,16.292889
"322",80.940806,15.711194
"323",80.263722,15.671667
"324",80.047917,15.074139
"325",80.346222,13.283306
"326",79.75875,11.671611
"327",79.880444,10.308306
"328",79.294139,10.260389
"329",78.900389,9.486667
"330",79.189583,9.280778
"331",78.265833,9.017917
"332",78.070444,8.374139
"333",77.5375,8.073722
"334",76.547056,8.898278
"335",75.869556,11.124111
"336",73.457056,16.053306
"337",72.655444,19.833306
"338",72.930389,20.76
"339",72.597861,21.298306
"340",72.927889,21.675778
"341",72.539972,21.660389
"342",72.507889,21.975806
"343",72.910806,22.266222
"344",72.326694,22.308722
"345",72.111278,21.199111
"346",70.822472,20.690417
"347",68.935389,22.306694
"348",70.174167,22.542028
"349",70.447889,22.97
"350",69.1975,22.835361
"351",68.425389,23.509167
"352",68.801611,23.884583
"353",68.265806,23.556278
"354",68.346611,23.96625
"355",67.480778,23.912889
"356",67.294556,24.774944
"357",66.657444,24.832056
"358",66.456639,25.617889
"359",61.756556,25.007056
"360",57.314972,25.782861
"361",56.68,27.199556
"362",54.795778,26.495417
"363",53.729139,26.700389
"364",52.435833,27.644556
"365",51.401667,27.922056
"366",50.095417,30.178333
"367",49.554167,30.000444
"368",48.925417,30.384944
"369",48.883306,30.0095
"370",47.956528,30.071139
"371",48.187889,29.546639
"372",47.702889,29.374111
"373",48.100389,29.3525
"374",48.847056,27.601639
"375",50.164583,26.636639
"376",50.003028,25.987444
"377",50.770833,24.713694
"378",50.991389,25.98325
"379",51.57775,25.914111
"380",51.298361,24.29375
"381",52.110833,23.906556
"382",52.594111,24.195444
"383",54.093361,24.120361
"384",56.505806,26.359639
"385",56.266278,25.630778
"386",56.623611,24.481583
"387",57.181639,23.932083
"388",58.753306,23.522028
"389",59.807889,22.22
"390",58.519556,20.409972
"391",58.195,20.609583
"392",57.845278,20.238333
"393",57.841194,18.999194
"394",56.798306,18.746222
"395",56.351694,17.918722
"396",55.428333,17.817889
"397",55.019972,17.001222
"398",52.483333,16.439556
"399",52.195806,15.607889
"400",49.342444,14.637889
"401",48.698306,14.042056
"402",45.658333,13.347
"403",45.039944,12.751222
"404",43.463278,12.6745
"405",42.598694,15.230778
"406",42.70375,16.739167
"407",40.795417,19.729111
"408",39.197889,21.084972
"409",39.142083,22.404944
"410",38.455417,23.781667
"411",37.427917,24.370806
"412",37.239556,25.188306
"413",35.221222,28.046694
"414",34.575417,28.088306
"415",35.001972,29.526667
"416",34.242641,27.724576
"417",32.566855,29.927166
"418",32.305241,31.202858
"419",34.237028,31.338306
"420",35.988778,34.537333
"421",35.713611,35.586667
"422",36.153694,36.837306
"423",35.354972,36.532917
"424",34.64,36.797083
"425",33.961639,36.220389
"426",32.792472,36.02625
"427",31.170833,36.850417
"428",30.636722,36.85625
"429",30.404972,36.199583
"430",29.684944,36.13125
"431",28.461667,36.879583
"432",27.404944,36.662889
"433",28.335417,37.054167
"434",27.264139,36.96375
"435",27.647083,37.244139
"436",27.004611,37.6575
"437",27.25625,37.975833
"438",26.231611,38.265389
"439",26.418278,38.679528
"440",26.676611,38.31125
"441",27.173694,38.445806
"442",26.722083,38.649972
"443",26.947917,39.564972
"444",26.0725,39.470361
"445",26.148722,39.914972
"446",26.747389,40.404556
"447",28.984972,40.356222
"448",28.974972,40.640417
"449",29.935833,40.717889
"450",29.252472,40.801278
"451",29.161639,41.221222
"452",31.210806,41.099556
"453",33.341639,42.026194
"454",35.013306,42.098694
"455",36.409139,41.244528
"456",38.377444,40.90875
"457",40.170833,40.92125
"458",41.404917,41.377
"459",41.7795,41.842472
"460",41.435833,42.737083
"461",36.600361,45.193278
"462",37.5325,45.379583
"463",38.274944,46.25875
"464",38.590028,46.037083
"465",37.696222,46.7025
"466",38.593278,46.662056
"467",39.262472,47.262083
"468",35.920833,46.655417
"469",34.990806,46.077056
"470",35.185806,46.527861
"471",34.465444,45.915
"472",34.973306,45.361222
"473",35.463722,45.2825
"474",34.815028,46.146222
"475",35.465028,45.301222
"476",36.64625,45.374139
"477",33.976611,44.387889
"478",33.382083,44.579167
"479",33.203306,45.442056
"480",32.480389,45.386694
"481",33.686639,45.832889
"482",33.597444,46.153722
"483",31.7875,46.267111
"484",32.027889,46.438306
"485",31.509139,46.579556
"486",32.446222,46.488306
"487",31.989083,46.889556
"488",30.759167,46.549556
"489",30.48,46.077889
"490",30.140806,46.382083
"491",30.477083,46.073306
"492",29.720806,45.582861
"493",30.131167,45.902472
"494",29.742417,45.602028
"495",29.631167,45.824111
"496",29.608694,44.850833
"497",28.995,44.682861
"498",28.863333,44.95375
"499",28.583611,43.484056
"500",27.306167,42.383278
"501",27.721694,42.40875
"502",28.981639,40.998694
"503",27.515806,40.976222
"504",26.182389,40.039528
"505",26.808222,40.645417
"506",25.136611,41.012
"507",23.733278,40.753694
"508",24.402917,40.155833
"509",23.734972,40.355417
"510",23.949139,39.93875
"511",22.928306,40.637083
"512",22.585417,40.466667
"513",23.350417,39.185806
"514",22.935806,39.35875
"515",23.057056,39.015833
"516",22.527028,38.8575
"517",24.08125,38.162472
"518",24.030833,37.647056
"519",23.519972,38.043722
"520",22.993722,37.877472
"521",23.515806,37.430417
"522",22.717889,37.560833
"523",23.198306,36.434556
"524",22.635,36.805389
"525",22.482472,36.387861
"526",22.125833,37.024583
"527",21.703694,36.814139
"528",21.104528,37.850833
"529",21.368722,38.217472
"530",22.895833,37.93375
"531",23.225389,38.154972
"532",21.099111,38.334528
"533",20.72875,38.814972
"534",21.11775,39.039028
"535",20.725806,38.950417
"536",19.288722,40.42
"537",19.594972,41.812056
"538",18.7625,42.490389
"539",17.008278,43.005389
"540",17.742083,42.834167
"541",16.886667,43.399583
"542",15.951667,43.504583
"543",14.559111,45.29625
"544",13.905,44.767056
"545",13.544028,45.794556
"546",12.142889,45.386639
"547",12.395778,44.205417
"548",13.626694,43.552083
"549",14.788278,42.045389
"550",16.153333,41.909583
"551",15.961611,41.460389
"552",18.516222,40.135833
"553",18.3475,39.790361
"554",17.858306,40.283722
"555",16.894917,40.430389
"556",16.488722,39.759167
"557",17.208722,39.027472
"558",16.605,38.812889
"559",16.064972,37.923778
"560",15.634528,38.017472
"561",16.221194,38.853306
"562",15.676667,40.030417
"563",11.093333,42.394583
"564",10.179972,43.961194
"565",8.747528,44.427111
"566",6.158333,43.029556
"567",4.085028,43.56125
"568",3.334139,43.287083
"569",2.951167,42.833278
"570",3.203306,41.891194
"571",0.979944,41.034556
"572",0,39.941308
"573",-0.180444,39.74
"574",-0.242139,39.130833
"575",0,38.931832
"576",0.235444,38.738333
"577",0,38.609727
"578",-0.504583,38.334111
"579",-0.7175,37.607056
"580",-1.451667,37.492111
"581",-2.125833,36.730417
"582",-4.415,36.718722
"583",-5.608417,36.000417
"584",-6.866694,37.292917
"585",-8.995444,37.0225
"586",-8.856663,38.384964
"587",-8.630444,38.408333
"588",-9.225444,38.411694
"589",-8.945806,38.997056
"590",-9.500389,38.783306
"591",-8.792917,40.118306
"592",-8.599667,42.344972
"593",-9.302083,43.054167
"594",-7.688389,43.792083
"595",-7.049222,43.48125
"596",-1.605056,43.430361
"597",-1.095861,45.559583
"598",-1.237972,45.692528
"599",-1.101306,46.316667
"600",-1.812528,46.492889
"601",-2.39,47.50625
"602",-4.376667,47.796222
"603",-4.633361,48.283417
"604",-4.157556,48.250111
"605",-4.780111,48.506778
"606",-3.076667,48.88375
"607",-2.686694,48.496194
"608",-1.3575,48.63375
"609",-1.940028,49.727861
"610",0,49.32795
"611",0.000028,49.327944
"612",1.665778,50.183306
"613",1.583278,50.872917
"614",4.250306,51.352139
"615",3.430639,51.533278
"616",4.64575,51.713278
"617",4.007528,51.963278
"618",4.733333,52.967056
"619",5.253278,52.310333
"620",5.844139,52.584139
"621",5.334111,53.075833
"622",5.878333,53.39625
"623",7.428444,53.222528
"624",7.093028,53.585722
"625",7.956722,53.718306
"626",8.505694,53.369083
"627",8.668333,53.894583
"628",9.825806,53.531639
"629",8.574111,54.301611
"630",9.014028,54.486639
"631",8.610778,54.881667
"632",8.27575,54.752472
"633",8.596611,57.121194
"634",10.657472,57.7375
"635",10.124083,56.711611
"636",10.960778,56.441667
"637",9.559139,55.707472
"638",9.420778,54.82825
"639",10.143278,54.320389
"640",11.132417,54.390806
"641",10.888222,53.959528
"642",13.021639,54.439556
"643",14.591167,53.601694
"644",14.731639,54.026222
"645",17.948333,54.832083
"646",18.796583,54.343722
"647",19.878306,54.640361
"648",19.373333,54.220361
"649",20.4125,54.677472
"650",19.889889,54.637833
"651",19.935722,54.916583
"652",20.567609,55.08183
"653",21.083417,55.727083
"654",20.514278,54.955028
"655",21.247472,54.95075
"656",20.98075,56.522472
"657",21.6975,57.566611
"658",22.609944,57.760417
"659",23.636556,56.961917
"660",24.393861,57.240111
"661",24.585833,58.322417
"662",23.735833,58.349972
"663",23.50325,59.230417
"664",25.696556,59.676194
"665",27.914944,59.402861
"666",28.098222,59.790417
"667",30.346583,59.950417
"668",28.623278,60.352806
"669",28.658194,60.742833
"670",22.893361,59.808694
"671",23.092417,60.37
"672",22.519972,60.212889
"673",21.425806,60.603361
"674",21.797472,61.491639
"675",21.124139,62.799972
"676",25.509167,65.021611
"677",24.591694,65.843639
"678",22.639944,65.907083
"679",22.396583,65.534611
"680",21.74575,65.751667
"681",21.746639,65.19125
"682",21.2325,65.333361
"683",21.619111,64.443278
"684",20.674111,63.795833
"685",18.121639,62.76875
"686",17.684167,63.004972
"687",17.175722,60.682444
"688",17.99,60.604556
"689",19.090833,59.748306
"690",18.084083,59.423306
"691",18.712444,59.278333
"692",17.92325,58.803778
"693",17.653306,59.184528
"694",17.506694,58.782056
"695",16.187417,58.641667
"696",16.949083,58.4775
"697",16.415778,58.477472
"698",16.729139,57.444139
"699",15.848333,56.073722
"700",14.688278,56.167056
"701",14.196639,55.382083
"702",12.8125,55.378333
"703",12.445806,56.304139
"704",12.94075,56.583278
"705",11.702472,57.704944
"706",11.910667,58.341667
"707",11.568306,57.927889
"708",11.705694,58.436667
"709",11.210694,58.350806
"710",10.753333,59.908722
"711",10.422444,59.063361
"712",9.518306,59.134583
"713",8.216694,58.10875
"714",7.048333,57.980389
"715",5.662528,58.550806
"716",5.574167,59.032472
"717",6.285806,58.839167
"718",6.647417,59.052472
"719",5.889111,59.084139
"720",6.597417,59.559167
"721",5.648278,59.25875
"722",5.224194,59.525778
"723",7.140778,60.4975
"724",5.546639,59.886278
"725",5.765833,60.390833
"726",5.441611,60.132111
"727",5.169194,60.374167
"728",5.799083,60.734139
"729",5.276639,60.540417
"730",4.947472,60.808333
"731",5.589167,60.871667
"732",5.0225,61.034167
"733",6.646611,61.175444
"734",7.123361,60.862056
"735",7.712472,61.234194
"736",7.586667,61.493722
"737",7.328306,61.157056
"738",6.753306,61.418722
"739",6.517819,61.197374
"740",5.231667,61.104556
"741",5.674111,61.368333
"742",4.979111,61.421611
"743",5.855889,61.455778
"744",4.997444,61.58
"745",5.191667,61.882111
"746",6.845833,61.870833
"747",5.178361,61.895389
"748",5.099056,62.193306
"749",6.313333,62.059556
